;Bezeichnung;Standort;Land;Architekt*in 1 Vorname;Architekt*in 1 Nachname;Künstler*innenname 1;Architekt*in 2 Vorname;Architekt*in 2 Nachname;Künstler*innenname 2;Architekt*in 3 Vorname;Architekt*in 3 Nachname;Künstler*innenname 3;Jahr Entwurf;Jahr Fertigstellung;Tags;Erläuterungstext;Ansicht;Grundriss;Schnitt;Lageplan;Detail
1;Themse-Brücke;London;Vereinigtes Königreich;Thomas;Telford;;;;;;;;1801;;;;;;;;
2;Crystal Palace;London;Vereinigtes Königreich;Joseph;Paxton;;;;;;;;1850;1851;Glas+Eisen+Tragwerk+öffentliche Bauten+Raster+Industrie;jospax-cry-txt;jospax-cry-abb;jospax-cry-gru;;;
3;Red House;Bexleyheath;Vereinigtes Königreich;Philip;Webb;;;;;;;;1858;1860;Arts & Crafts+Ziegel+Handwerk+Asymmetrie+Wohnen;phiweb-red-txt;phiweb-red-abb;;;;
4;Bibliothek Sainte-Geneviève;Paris;Frankreich;Henri;Labrouste;;;;;;;;1843;1850;rational+Aufklärung+Eisen+Renaissance+öffentliche Bauten+Bibliothek;henlab-sai-txt;henlab-sai-abb;;;;
5;Bibliothèque Nationale;Paris;Frankreich;Henri;Labrouste;;;;;;;;1858;1868;Statik+öffentliche Bauten+Bibliothek+Stützen+Eisen+Tragwerk+Antike+Ornament;henlab-nat-txt;henlab-nat-abb;;;;
6;Eiffelturm;Paris;Frankreich;Gustave;Eiffel;;;;;;;;1886;1889;Stahl+öffentliche Bauten+Turm+Tragwerk+Fachwerk;guseif-eif-txt;guseif-eif-abb;;;;
7;Carrée d’art;Nîmes;Frankreich;Norman;Foster;;;;;;;;1984;1992;öffentliche Bauten+Bibliothek+Stützen+Museum+Glas;norfos-car-txt;norfos-car-abb;;;;
8;Sagrada Família;Barcelona;Spanien;Antoni;Gaudí;;;;;;;;1883;1926;experimentell+Tektonik+expressiv+öffentliche Bauten+Kirche;antgau-sag-txt;antgau-sag-abb;;;;
9;Warenhaus Wertheim;Berlin;Deutschland;Alfred;Messel;;;;;;;;1896;1897;öffentliche Bauten+Kaufhaus+Stützen+Glas+Ornament+Ehrlichkeit;alfmes-war-txt;almes-war-abb;almes-war-gru;almes-war-sch;;
10;Leicester Engineering Building;Leicester;Vereinigtes Königreich;James;Stirling;;;;;;;;1959;1963;Transparenz+Technologie+expressiv+Universität+Glas+Ziegel+Turm;jamstir-lei-txt;jamstir-lei-abb;;;;
11;AEG-Turbinenhalle;Berlin;Deutschland;Peter;Behrens;;;;;;;;1908;1909;Industrie+monumental+Tempel+Glas+Deutscher Werkbund;petbeh-aeg-txt;petbeh-aeg-abb;;petbeh-aeg-sch;;
12;Centre Pompidou;Paris;Frankreich;Renzo;Piano;;Richard;Rogers;;;;;1971;1977;Technologie+öffentliche Bauten+Museum+Bibliothek+Tragwerk+Transparenz+Glas+expressiv;renpia-cen-txt;renpia-cen-abb;;;;
13;Hochzeitsturm;Darmstadt;Deutschland;Joseph Maria;Olbrich;;;;;;;;1905;1908;;josolb-hoc-txt;josolb-hoc-abb;josolb-hoc-gru;;;
14;Downtown Castle;Herefordshire;Vereinigtes Königreich;Richard;Payne Knight;;;;;;;;1779;;;;;;;;
